[00:00:00 -> 00:00:15]  ¿Qué es la teoría de la información?
[00:00:15 -> 00:00:19]  El universo se describe convencionalmente en términos de cantidades físicas, como
[00:00:19 -> 00:00:25]  la masa y la velocidad, pero una cantidad al menos tan importante como éstas es la
[00:00:25 -> 00:00:32]  información. Ya sea que consideremos las computadoras, la evolución, la física, la
[00:00:32 -> 00:00:40]  inteligencia artificial, la computación cuántica o el cerebro, llegamos inexorablemente a la
[00:00:40 -> 00:00:46]  conclusión de que sus comportamientos están determinados en gran medida por la forma en
[00:00:46 -> 00:00:59]  que procesa la información. En 1948, Claude Shannon publicó un artículo titulado Una
[00:00:59 -> 00:01:05]  teoría matemática de la comunicación. Este artículo anunció una transformación en
[00:01:05 -> 00:01:11]  nuestra comprensión de la información. Antes del artículo de Shannon, la información
[00:01:11 -> 00:01:18]  se consideraba como una especie de fluido miasmático mal definido. Pero después del
[00:01:18 -> 00:01:24]  artículo de Shannon, se hizo evidente que la información es una cantidad bien definida
[00:01:24 -> 00:01:32]  y sobre todo, medible. El artículo de Shannon describe la teoría sutil que nos dice algo
[00:01:32 -> 00:01:38]  fundamental sobre la forma en que funciona el universo. Sin embargo, a diferencia de
[00:01:38 -> 00:01:45]  otras grandes teorías como la teoría de la evolución de Darwin Wallace, la teoría de la
[00:01:45 -> 00:01:52]  información no es simple y está llena de advertencias. Pero podemos pasar por alto muchas
[00:01:52 -> 00:02:00]  de estas advertencias siempre que mantengamos un ojo firme en la interpretación física de las
[00:02:00 -> 00:02:05]  ecuaciones definitorias de la teoría de la información. Este será nuestro principio
[00:02:05 -> 00:02:10]  rector en la exploración de la teoría de la información.
[00:02:13 -> 00:02:19]  Información, ojos y evolución. La teoría de la información de Shannon proporciona una definición
[00:02:19 -> 00:02:25]  matemática de la información y describe con precisión cuánta información se puede comunicar
[00:02:25 -> 00:02:32]  entre los diferentes elementos de un sistema. Puede que esto no parezca mucho, pero la teoría
[00:02:32 -> 00:02:39]  de Shannon respalda nuestra comprensión de cómo se relacionan las señales y el ruido y por qué
[00:02:39 -> 00:02:44]  existen límites definidos en la velocidad a la que se puede comunicar la información dentro de
[00:02:44 -> 00:02:52]  cualquier sistema, ya sea biológico o creado por el hombre. Representa uno de los pocos ejemplos
[00:02:52 -> 00:02:59]  de una sola teoría que crea un campo de investigación completamente nuevo. En este
[00:02:59 -> 00:03:07]  sentido, la teoría de Shannon se ubica junto a las de Darwin Wallace, Newton, e Einstein.
[00:03:09 -> 00:03:16]  Cuando se escribe una pregunta en un motor de búsqueda de computadora, los resultados brindan
[00:03:16 -> 00:03:25]  información útil, pero está enterrada en un mar de datos en su mayoría inútiles. En esta era de
[00:03:25 -> 00:03:32]  internet es fácil para nosotros apreciar la diferencia entre información y datos, y hemos
[00:03:32 -> 00:03:39]  aprendido a tratar la información como una señal útil y el resto como un ruido que distrae.
[00:03:41 -> 00:03:48]  Esta experiencia ahora es tan común que frases técnicas como relación-señal-ruido se están
[00:03:48 -> 00:03:53]  convirtiendo en parte del lenguaje cotidiano. Aunque la mayoría de las personas desconocen
[00:03:53 -> 00:04:00]  el significado preciso de esta frase, tienen una comprensión intuitiva de la idea de que
[00:04:00 -> 00:04:10]  datos significa una combinación de señales útiles y ruido inútil. La capacidad de separar la señal
[00:04:10 -> 00:04:17]  del ruido, de extraer información de los datos, es crucial para las telecomunicaciones modernas.
[00:04:18 -> 00:04:25]  Por ejemplo, permite que una imagen de televisión se comprima hasta su mínima expresión y se
[00:04:25 -> 00:04:35]  transmita a un satélite, luego a un televisor, y antes de descomprimirse para revelar la imagen
[00:04:35 -> 00:04:47]  original en la pantalla del televisor. Este tipo de escenario también es omnipresente en el mundo
[00:04:47 -> 00:04:53]  natural. La capacidad de los ojos y los oídos para extraer señales útiles de datos sensoriales
[00:04:53 -> 00:04:59]  ruidosos y empaquetar estas señales de manera eficiente es la clave para la supervivencia.
[00:04:59 -> 00:05:06]  De hecho, la hipótesis de la codificación eficiente sugiere que la evolución de los órganos,
[00:05:06 -> 00:05:13]  de los sentidos y de los cerebros que procesan los datos de esos órganos está impulsada
[00:05:13 -> 00:05:18]  principalmente por la necesidad de minimizar la energía gastada por cada bit de información
[00:05:18 -> 00:05:27]  adquirido del entorno. De manera más general, una rama particular de la ciencia del cerebro,
[00:05:27 -> 00:05:33]  la neurociencia computacional, se basa en la teoría de la información para proporcionar un
[00:05:33 -> 00:05:40]  punto de referencia contra el cual se puede medir objetivamente el rendimiento de las neuronas.
[00:05:41 -> 00:05:46]  En una escala biológica mayor, la capacidad de separar la señal del ruido es fundamental
[00:05:46 -> 00:05:52]  para la teoría de la evolución de Darwin Wallace por la selección natural. La evolución funciona
[00:05:52 -> 00:05:58]  seleccionando a los individuos que mejor se adaptan a un entorno particular de modo que,
[00:05:58 -> 00:06:04]  a lo largo de muchas generaciones, la información sobre el medio ambiente se acumula gradualmente
[00:06:04 -> 00:06:12]  en el acervo genético. Por lo tanto, la selección natural es esencialmente un medio por el cual la
[00:06:12 -> 00:06:23]  información sobre el medio ambiente se incorpora al ADN, ácido desoxirribonucleico, y parece probable
[00:06:23 -> 00:06:29]  que la velocidad a la que se incorpora la información al ADN se acelere por un antiguo
[00:06:29 -> 00:06:42]  misterio biológico, el sexo. Encontrar una ruta bit a bit. La información generalmente se mide en
[00:06:42 -> 00:06:50]  bits. Un bit de información le permite elegir entre dos alternativas igualmente probables. La
[00:06:50 -> 00:06:59]  palabra bit se deriva de binary digits, las dos primeras letras de binary y las dos últimas
[00:07:00 -> 00:07:12]  letras de digit. Digito binario es decir un 0 o un 1. Sin embargo, como veremos, los bits y los
[00:07:12 -> 00:07:19]  dígitos binarios son tipos de entidades fundamentalmente diferentes. Imagina que
[00:07:19 -> 00:07:27]  estás parado en la bifurcación del camino en el punto A en la figura siguiente. En este punto
[00:07:28 -> 00:07:36]  hay dos opciones, una bifurcación y quieres llegar al punto marcado como D. Quieres llegar a
[00:07:36 -> 00:07:45]  este punto D. Ten en cuenta que esta figura representa una vista amplia, que no tienes.
[00:07:47 -> 00:07:51]  Todo lo que tienes es una decisión que tomar.
[00:07:51 -> 00:07:58]  Si no tiene información previa sobre qué camino elegir, la bifurcación en A representa dos
[00:07:58 -> 00:08:05]  alternativas igualmente probables. Si te digo que vayas a la izquierda, entonces has recibido un
[00:08:05 -> 00:08:14]  poco de información. Si representamos mi instrucción como un dígito binario que 0 es igual a izquierda
[00:08:14 -> 00:08:21]  y 1 igual a derecha, entonces este dígito binario le proporciona un bit de información que le
[00:08:21 -> 00:08:32]  indica qué camino elegir. Estás en el punto A, solo un bit de información, el 0, te puede indicar
[00:08:32 -> 00:08:41]  que vayas hacia la izquierda. Ahora imagina que sigues andando por la carretera y llegas a otra
[00:08:41 -> 00:08:48]  bifurcación, en el punto B de la figura. Ahora estamos en el punto B.
[00:08:48 -> 00:08:58]  Nuevamente, debido a que no tiene idea de qué camino elegir, un dígito binario 1, que es igual a derecha,
[00:08:58 -> 00:09:05]  proporciona un poco de información, lo que permite elegir el camino correcto, que conduce al punto
[00:09:05 -> 00:09:16]  marcado C. Estás en este punto, en el punto B, es otra bifurcación, el número 1 te indica que vayas
[00:09:16 -> 00:09:25]  a la derecha y llegas al punto C. Tenga en cuenta que C es uno de los cuatro posibles destinos
[00:09:25 -> 00:09:31]  intermedios a los que podría haber llegado después de tomar dos decisiones.
[00:09:31 -> 00:09:41]  Bien, en la primera decisión, y es el punto A, la segunda decisión en el punto B, en la segunda decisión
[00:09:41 -> 00:09:57]  se permiten cuatro puntos posibles. Uno, dos, tres, cuatro. Con dos decisiones hay cuatro puntos
[00:09:58 -> 00:10:07]  posibles. Los dos dígitos binarios que le permiten tomar las decisiones correctas proporcionaron dos bits
[00:10:07 -> 00:10:17]  de información, permitiéndole elegir entre cuatro alternativas posibles, igualmente probables. Cuatro pasa a ser
[00:10:17 -> 00:10:35]  igual a dos por dos o dos elevado al cuadrado. Es decir, una base binaria que es dos elevado al cuadrado,
[00:10:35 -> 00:10:55]  que son dos decisiones que permite cuatro posibles destinos. Un tercer dígito binario, un uno que es igual a derecha,
[00:10:55 -> 00:11:04]  le proporciona un poco más de información, lo que le permite elegir de nuevo el camino correcto que conduce
[00:11:04 -> 00:11:19]  al punto marcado D. Bueno, desde el punto C hay otra bifurcación, y uno, que significa derecha, nos permite llegar al lugar
[00:11:19 -> 00:11:37]  deseado, al punto D. Y aquí está la secuencia 0, 1, 1. La primera decisión fue 0, la segunda decisión fue 1, y la tercera decisión fue otra vez 1.
[00:11:37 -> 00:11:57]  0, 1, 1. Esta es la información para llegar al punto D. Bueno, aquí tienen el 0 decimal mostrado en binario, el 1 decimal mostrado en binario,
[00:11:57 -> 00:12:24]  el 2 en binario, 3, 4, 5, 6, y al final el 7, el 7 decimal mostrado en binario. Vean que del 0 decimal al 7 decimal tenemos ocho posibilidades,
[00:12:24 -> 00:12:41]  porque se toman tres decisiones, 1, 2 y 3. Entonces 2, que es la base binaria elevado al cubo, que son las tres decisiones, tiene ocho posibles destinos.
[00:12:41 -> 00:12:54]  ¿Cuántos caminos debe recorrer un hombre? Para un viajero que no conoce el camino, cada bifurcación del camino requiere un poco de información para tomar una decisión correcta.
[00:12:54 -> 00:13:11]  Los ceros y los unos del lado derecho resumen las instrucciones necesarias para llegar a cada destino. Todos estos ceros y unos a la derecha muestran la información para llegar a estos destinos.
[00:13:11 -> 00:13:34]  Un giro a la izquierda se indica con un 0 y un giro a la derecha con un 1. Ahora hay ocho caminos que podría haber elegido cuando comenzó en A, por lo que tres dígitos binarios que le brindan tres bits de información le permiten elegir entre ocho alternativas igualmente probables.
[00:13:35 -> 00:13:53]  Sería 2 al cubo igual a 8. Es decir, la base binaria 2, porque solo tenemos dos alternativas, en cada bifurcación solo hay dos opciones, por eso es base binaria 2.
[00:13:54 -> 00:14:05]  La potencia 3 es el número de decisiones que se tienen que tomar, y 2 al cubo es 8, 8 son los posibles destinos.
[00:14:05 -> 00:14:23]  La decisión tomada en A excluyó la mitad de los ocho destinos posibles que se muestran en la figura a los que podría haber llegado. Del mismo modo, la decisión tomada en cada bifurcación sucesiva del camino redujo a la mitad el número de posibles destinos restantes.
[00:14:24 -> 00:14:43]  Es decir, cuando tomaron la decisión en A de ir hacia la izquierda, entonces descarta todas las otras posibilidades de acá abajo, que son cuatro.
[00:14:44 -> 00:14:54]  Cuando tomaron una decisión en B de ir hacia la derecha, descartó las posibilidades de este lado, que son dos.
[00:14:56 -> 00:15:06]  Y cuando tomaron una decisión en C, descartó esta única posibilidad, que era una.
[00:15:06 -> 00:15:13]  Es decir, cada vez que tomó una decisión va descartando la mitad de los destinos posibles.
[00:15:16 -> 00:15:23]  Un viaje de 8 alternativas. Resumamos un viaje en términos del número de alternativas igualmente probables.
[00:15:24 -> 00:15:41]  Si se tiene un bit de información, se puede elegir entre dos alternativas igualmente probables, que es dos alternativas con un bit de información o con una decisión, es igual dos a la uno, es igual a dos.
[00:15:42 -> 00:15:48]  Si se tiene dos bits de información, se puede elegir entre cuatro alternativas igualmente probables.
[00:15:49 -> 00:16:10]  Es decir, la base binaria, que son dos alternativas que se tiene en cada bifurcación, elevado al cuadrado, que son dos bits, que serían dos decisiones que se toman, se producen cuatro alternativas igualmente probables.
[00:16:11 -> 00:16:19]  Y también si tienes tres bits de información, puedes elegir entre ocho alternativas igualmente probables, dos al cubo o ocho.
[00:16:23 -> 00:16:33]  Dos alternativas elevadas al cubo, que son tres decisiones o tres bits, es igual a ocho posibles alternativas.
[00:16:34 -> 00:16:48]  Podemos reformular esto en términos más generales, si usamos n para representar el número de bifurcaciones y m para representar el número de destinos finales.
[00:16:48 -> 00:17:02]  Si ha llegado a n bifurcaciones, entonces ha elegido efectivamente m destinos finales, y m es igual a dos a la n.
[00:17:02 -> 00:17:22]  M, los probables destinos finales, 2, que estamos en base binaria, que siempre son dos alternativas, es una bifurcación, y n, el número de bits o decisiones.
[00:17:23 -> 00:17:39]  Debido a que la decisión en cada bifurcación requiere un bit de información, n bifurcaciones requieren n bits de información, lo que le permite elegir entre dos a la n alternativas igualmente probables.
[00:17:39 -> 00:17:55]  Un viaje de mil millas comienza con un solo paso. De hecho, un viaje de mil millas comienza con una única decisión, la dirección en la que da el primer paso.
[00:17:56 -> 00:18:04]  Un bit es la cantidad de información requerida para elegir entre dos alternativas igualmente probables.
[00:18:04 -> 00:18:17]  Por eso es base binaria, porque un bit te indica elegir entre dos alternativas.
